player_id,name,team,position,goals,assists,minutes,nationality,age,market_value
1,Lallianzuala Chhangte,Mumbai City FC,Midfielder,4,0,720,India,28,€275k
2,Phurba Lachenpa,Mumbai City FC,Goalkeeper,0,0,720,India,28,€225k
3,Akash Mishra,Mumbai City FC,Defender,0,1,720,India,24,€225k
4,Nuno Reis,Mumbai City FC,Defender,0,0,720,Portugal,35,
5,Hmingthanmawia Ralte,Mumbai City FC,Defender,0,0,719,India,25,
6,Joni Kauko,Mumbai City FC,Midfielder,0,1,658,Finland,35,€50k
7,Lalnuntluanga,Mumbai City FC,Midfielder,0,0,618,India,26,€50k
8,Jorge Pereyra Díaz,Mumbai City FC,Forward,1,1,497,Argentina,35,
9,Brandon Fernandes,Mumbai City FC,Midfielder,3,1,453,India,31,
10,Sahil Panwar,Mumbai City FC,Defender,1,0,369,India,26,
11,Noufal P.N,Mumbai City FC,Midfielder,0,0,419,India,25,
12,Jorge Ortiz Mendoza,Mumbai City FC,Forward,0,0,302,Spain,33,
13,Vikram Singh,Mumbai City FC,Midfielder,0,1,298,India,24,
14,Bijay Chhetri,Mumbai City FC,Defender,0,1,388,India,24,
15,Ayush Chhikara,Mumbai City FC,Forward,0,0,101,India,23,
16,Zothanpuia II,Mumbai City FC,Defender,0,0,164,India,31,
17,Franklin Nazareth,Mumbai City FC,Midfielder,0,0,39,India,22,
18,Amandeep,Mumbai City FC,Defender,0,0,10,India,21,
19,Sanjeev Stalin,Mumbai City FC,Midfielder,0,0,4,India,25,
20,Alberto,Mohun Bagan Super Giants,Defender,1,0,646,Spain,33,
21,Lalengmawia Apuia,Mohun Bagan Super Giants,Midfielder,0,0,630,India,25,
22,Vishal Kaith,Mohun Bagan Super Giants,Goalkeeper,0,0,720,India,29,
23,Abhishek Singh,Mohun Bagan Super Giants,Defender,0,1,717,India,21,
24,Jamie Maclaren,Mohun Bagan Super Giants,Forward,8,0,703,Australia,32,
25,Anirudh Thapa,Mohun Bagan Super Giants,Midfielder,0,2,639,India,28,
26,Dimitri Petratos,Mohun Bagan Super Giants,Midfielder,2,2,573,Australia,33,
27,Liston Colaco,Mohun Bagan Super Giants,Midfielder,1,2,644,India,27,
28,Subashish Bose,Mohun Bagan Super Giants,Defender,0,3,534,India,30,
29,Mehtab Singh,Mohun Bagan Super Giants,Defender,0,0,379,India,27,
30,Robinho,Mohun Bagan Super Giants,Midfielder,2,1,389,Brazil,31,
31,Jason Cummings,Mohun Bagan Super Giants,Midfielder,1,0,203,Australia,30,
32,Manvir Singh,Mohun Bagan Super Giants,Midfielder,1,1,339,India,30,
33,Tom Aldred,Mohun Bagan Super Giants,Defender,1,0,355,Scotland,35,
34,Amey Ranawade,Mohun Bagan Super Giants,Defender,0,0,172,India,28,
35,Deepak Tangri,Mohun Bagan Super Giants,Defender,0,0,182,India,27,
36,Sahal Abdul Samad,Mohun Bagan Super Giants,Midfielder,1,0,80,India,28,
37,Kiyan Nassiri,Mohun Bagan Super Giants,Forward,0,0,15,India,25,
38,Nikhil Barla,Jamshedpur FC,Defender,0,0,720,India,22,
39,Pratik Chowdhary,Jamshedpur FC,Defender,0,0,720,India,36,
40,Stephen Eze,Jamshedpur FC,Defender,2,0,720,Nigeria,32,
41,Albino Gomes,Jamshedpur FC,Goalkeeper,0,0,720,India,32,
42,Raphaël Messi Bouli,Jamshedpur FC,Forward,1,1,716,Cameroon,33,
43,Mohammed Sanan,Jamshedpur FC,Midfielder,0,0,674,India,21,
44,Zothanpuia Mark,Jamshedpur FC,Defender,0,0,686,India,23,
45,Pronay Halder,Jamshedpur FC,Midfielder,0,1,538,India,33,
46,Nikola Stojanovic,Jamshedpur FC,Midfielder,1,2,611,Serbia,31,
47,Madih Talal,Jamshedpur FC,Midfielder,1,2,360,France,28,
48,Rei Tachikawa,Jamshedpur FC,Midfielder,1,0,318,Japan,28,
49,Ritwik Das,Jamshedpur FC,Midfielder,1,1,262,India,29,
50,Vincy Barretto,Jamshedpur FC,Midfielder,1,0,237,India,26,
51,Manvir Singh,Jamshedpur FC,Midfielder,0,0,84,India,24,
52,Rosenberg Gabriel,Jamshedpur FC,Midfielder,0,0,115,India,27,
53,Lalhriatpuia Chawngthu,Jamshedpur FC,Midfielder,0,0,178,India,20,
54,Sarthak Golui,Jamshedpur FC,Defender,1,0,34,India,28,
55,Lazar Circovich,Jamshedpur FC,Defender,0,0,155,Serbia,33,
56,Anwar Ali,East Bengal FC,Defender,3,1,652,India,25,
57,Mohammed Rashid,East Bengal FC,Midfielder,0,1,621,Palestine,30,
58,Prabhsukhan Singh,East Bengal FC,Goalkeeper,0,0,720,India,25,
59,Miguel Figueira,East Bengal FC,Midfielder,2,2,640,Brazil,25,
60,Jeakson Singh,East Bengal FC,Defender,0,0,672,India,24,
61,Youssef Ezzejjari,East Bengal FC,Forward,7,0,592,Spain,32,
62,Bipin Singh,East Bengal FC,Midfielder,0,1,451,India,31,
63,Edmund Lalrindika,East Bengal FC,Midfielder,3,0,461,India,26,
64,Lalchungnunga,East Bengal FC,Defender,0,0,280,India,25,
65,Jay Gupta,East Bengal FC,Defender,0,1,354,India,24,
66,Mohamad Rakip,East Bengal FC,Defender,0,0,349,India,25,
67,Saúl Crespo,East Bengal FC,Midfielder,2,1,352,Spain,29,
68,Vishnu PV,East Bengal FC,Defender,1,2,466,India,24,
69,Nanda Kumar,East Bengal FC,Midfielder,2,0,236,India,30,
70,Anton Søjberg,East Bengal FC,Midfielder,1,0,148,Denmark,25,
71,Mahesh Singh,East Bengal FC,Midfielder,0,1,116,India,27,
72,Souvik Chakrabarti,East Bengal FC,Defender,0,1,214,India,38,
73,David Lalhlansanga,East Bengal FC,Forward,0,0,52,India,24,
74,Martand Raina,East Bengal FC,Defender,0,0,2,India,25,
75,Nikhil Poojari,Bengaluru FC,Defender,0,2,806,India,30,
76,Gurpreet Singh Sandhu,Bengaluru FC,Goalkeeper,0,0,810,India,34,
77,Roshan Singh,Bengaluru FC,Defender,0,0,770,India,27,
78,Brían Sánchez,Bengaluru FC,Midfielder,3,0,691,Argentina,32,
79,Konsham Singh,Bengaluru FC,Defender,0,0,765,India,29,
80,Lalremtluanga Fanai,Bengaluru FC,Midfielder,0,2,529,India,21,
81,Ashique Kuruniyan,Bengaluru FC,Midfielder,3,1,706,India,28,
82,Ryan Williams,Bengaluru FC,Forward,2,0,700,Australia,32,
83,Rahul Bheke,Bengaluru FC,Defender,0,0,630,India,35,
84,Sirojiddin Quziyev,Bengaluru FC,Midfielder,0,1,554,Uzbekistan,29,
85,Sunil Chhetri,Bengaluru FC,Forward,2,0,507,India,41,
86,Suresh Singh,Bengaluru FC,Midfielder,1,0,524,India,25,
87,Siva Sakthi,Bengaluru FC,Forward,1,0,214,India,24,
88,Bungson Singh,Bengaluru FC,Defender,0,0,180,India,19,
89,Namgyal Bhutia,Bengaluru FC,Midfielder,1,0,102,India,26,
90,Vinith Venkatesh,Bengaluru FC,Midfielder,0,0,84,India,20,
91,Ricky Meetei,Bengaluru FC,Defender,0,0,85,India,19,
92,Rishi Singh,Bengaluru FC,Midfielder,0,0,42,India,25,
93,Monirul Molla,Bengaluru FC,Forward,0,0,72,India,20,
94,Soham Varshneya,Bengaluru FC,Midfielder,0,1,70,India,21,
95,Chingangbam Shivaldo,Bengaluru FC,Defender,0,0,8,India,21,
96,Kelvin Singh,Bengaluru FC,Forward,0,0,4,India,20,
97,Sandesh Jhingan,FC Goa,Defender,1,0,720,India,32,
98,Pol Moreno,FC Goa,Defender,2,0,720,Spain,31,
99,Aakash Sangwan,FC Goa,Defender,0,1,710,India,30,
100,Hrithik Tiwari,FC Goa,Goalkeeper,0,0,630,India,24,
101,Dejan Dražic,FC Goa,Forward,5,2,719,Serbia,30,
102,Udanta Singh,FC Goa,Midfielder,0,0,714,India,29,
103,Brison Fernandes,FC Goa,Midfielder,1,1,631,India,24,
104,Boris Singh,FC Goa,Defender,0,0,596,India,26,
105,Ayush Chhetri,FC Goa,Midfielder,0,0,522,India,22,
106,Sahil Tavora,FC Goa,Midfielder,0,0,521,India,30,
107,Ishan Pandita,FC Goa,Forward,0,0,199,India,27,
108,Muhammed Nemil,FC Goa,Forward,0,0,265,India,24,
109,Yasir Mohammad,FC Goa,Midfielder,0,0,149,India,26,
110,Prachit Vishwas,FC Goa,Midfielder,0,0,45,India,19,
111,Abdul Rabeeh A K,FC Goa,Midfielder,0,0,296,India,25,
112,Raynier Fernandes,FC Goa,Midfielder,0,0,197,India,30,
113,Daniel Lalhlimpuia,FC Goa,Forward,0,0,95,India,28,
114,Harsh Shailesh Patre,FC Goa,Midfielder,0,0,91,India,23,
115,Bob Jackson,FC Goa,Goalkeeper,0,0,90,India,21,
116,Jerry Lalrinzuala,FC Goa,Defender,0,0,10,India,27,
117,Khaiminthang Lhungdim,Punjab FC,Defender,0,1,630,India,25,
118,Arshdeep Singh,Punjab FC,Goalkeeper,0,0,630,India,28,
119,Muhammed Uvais,Punjab FC,Defender,0,1,616,India,27,
120,Bijoy Varghese,Punjab FC,Defender,0,0,630,India,26,
121,Ricky John Shabong,Punjab FC,Midfielder,0,0,624,India,23,
122,Dani Ramírez,Punjab FC,Midfielder,3,1,535,Spain,33,
123,Pablo Santos,Punjab FC,Defender,0,0,353,Brazil,34,
124,Nsungusi Jnr Effiong,Punjab FC,Forward,6,0,497,Nigeria,26,
125,Manglenthang Kipgen,Punjab FC,Midfielder,0,2,404,India,20,
126,Samir Zeljkovic,Punjab FC,Midfielder,1,2,509,Bosnia and Herzegovina,28,
127,Bede Amarachi Osuji,Punjab FC,Midfielder,1,1,388,Nigeria,30,
128,Muhammed Suhail,Punjab FC,Midfielder,0,1,278,India,19,
129,Nikhil Prabhu,Punjab FC,Midfielder,0,0,90,India,25,
130,Leon Augustine,Punjab FC,Midfielder,0,0,196,India,27,
131,Sagolsem Bikash Singh,Punjab FC,Midfielder,0,0,97,India,25,
132,Pramveer Ranbir,Punjab FC,Defender,0,0,176,India,18,
133,Nongmeikapam Meitei,Punjab FC,Defender,0,0,100,India,31,
134,Princeton Rebello,Punjab FC,Midfielder,0,0,50,India,27,
135,Ninthoinganba Meetei,Punjab FC,Midfielder,0,0,48,India,24,
136,Vinit Rai,Punjab FC,Midfielder,0,0,22,India,28,
137,Lakmabam Rakesh,Punjab FC,Defender,0,0,14,India,23,
138,Gurmeet Singh,NorthEast United,Goalkeeper,0,0,720,India,26,
139,Andy,NorthEast United,Midfielder,2,0,707,Spain,36,
140,Buanthanglun Samte,NorthEast United,Defender,0,0,703,India,26,
141,Mayakkannan,NorthEast United,Midfielder,0,0,620,India,28,
142,Jithin M.S.,NorthEast United,Midfielder,1,0,651,India,28,
143,Parthib Sundar Gogoi,NorthEast United,Midfielder,1,1,641,India,23,
144,Asheer Akhtar,NorthEast United,Defender,0,1,622,India,31,
145,Macarton Louis Nickson,NorthEast United,Midfielder,1,0,515,India,22,
146,Míchel Zabaco,NorthEast United,Defender,0,0,451,Spain,37,
147,Redeem Tlang,NorthEast United,Defender,0,0,390,India,31,
148,Danny Meitei,NorthEast United,Forward,0,0,235,India,18,
149,Lalrinzuala Lalbiaknia,NorthEast United,Forward,2,2,245,India,25,
150,Soraisham Dinesh Singh,NorthEast United,Defender,0,0,278,India,28,
151,Jairo Samperio,NorthEast United,Midfielder,0,0,315,Spain,32,
152,Bekey Oram,NorthEast United,Midfielder,0,0,332,India,22,
153,Robin Yadav,NorthEast United,Defender,0,0,108,India,24,
154,Thoi Singh,NorthEast United,Forward,0,0,68,India,21,
155,Ankith Padmanabhan,NorthEast United,Forward,0,0,112,India,24,
156,Lalbiakdika Vanlalvunga,NorthEast United,Forward,0,0,43,India,26,
157,Fredy Chawngthansanga,NorthEast United,Forward,0,0,1,India,22,
158,Rahim Ali,Odisha FC,Forward,1,2,540,India,25,
159,Carlos Delgado,Odisha FC,Defender,1,0,540,Spain,35,
160,Amrinder Singh,Odisha FC,Goalkeeper,0,0,540,India,32,
161,Thoiba Singh,Odisha FC,Defender,0,1,540,India,23,
162,Vanlalzuidika,Odisha FC,Defender,0,0,540,India,28,
163,K Lalthathanga,Odisha FC,Midfielder,0,1,531,India,27,
164,Isak Vanlalruatfela,Odisha FC,Midfielder,0,0,502,India,24,
165,Rahul KP,Odisha FC,Midfielder,2,0,456,India,26,
166,Rohit Kumar,Odisha FC,Midfielder,0,0,448,India,29,
167,Suhair V.P.,Odisha FC,Forward,2,0,280,India,33,
168,Saviour Gama,Odisha FC,Defender,0,0,180,India,28,
169,K Lalrinfela,Odisha FC,Midfielder,0,1,254,India,26,
170,Subham Bhattacharya,Odisha FC,Defender,1,0,192,India,19,
171,Saurabh Bhanwala,Odisha FC,Defender,0,0,45,India,26,
172,Hitesh Sharma,Odisha FC,Midfielder,0,0,77,India,28,
173,Edwin Sydney Vanspaul,Odisha FC,Defender,0,1,99,India,33,
174,Jeremy Zohminghlua,Odisha FC,Defender,0,0,68,India,21,
175,Aphaoba Singh,Odisha FC,Forward,0,0,27,India,22,
176,Narendra Naik,Odisha FC,Midfielder,0,0,21,India,21,
177,Kartik Hantal,Odisha FC,Forward,0,0,6,India,24,
178,Tankadhar Bag,Odisha FC,Defender,0,0,1,India,22,
179,Pritam Kotal,Chennayin FC,Defender,0,0,720,India,32,
180,Alberto Noguera,Chennayin FC,Midfielder,0,2,708,Spain,36,
181,Laldinliana Renthlei,Chennayin FC,Defender,0,1,591,India,27,
182,Elson José Dias Júnior,Chennayin FC,Defender,1,0,441,Brazil,34,
183,Mohammad Nawaz,Chennayin FC,Goalkeeper,0,0,662,India,26,
184,Mandar Rao Dessai,Chennayin FC,Defender,0,0,589,India,34,
185,Mohammed Ali Bemammer,Chennayin FC,Midfielder,0,0,622,Morocco,36,
186,Imran Khan,Chennayin FC,Midfielder,1,0,386,India,31,
187,Iñigo Martín,Chennayin FC,Forward,0,0,342,Spain,26,
188,Irfan Yadwad,Chennayin FC,Midfielder,2,0,554,India,24,
189,Farukh Choudhary,Chennayin FC,Midfielder,1,1,500,India,29,
190,Maheson Singh,Chennayin FC,Midfielder,0,0,257,India,21,
191,Lalrinliana Hnamte,Chennayin FC,Midfielder,0,0,407,India,22,
192,Eduardo Kau,Chennayin FC,Defender,0,0,397,Brazil,27,
193,Daniel Chima Chukwu,Chennayin FC,Forward,1,0,188,Nigeria,34,
194,Vivek S,Chennayin FC,Forward,0,0,120,India,21,
195,Gurkirat Singh,Chennayin FC,Defender,0,0,61,India,22,
196,Samik Mitra,Chennayin FC,Goalkeeper,0,0,58,India,25,
197,Klusner Pereira,Chennayin FC,Defender,0,0,64,India,28,
198,Vignesh Dakshina Murthy,Chennayin FC,Defender,0,0,95,India,28,
199,Laldinpuia PC,Chennayin FC,Defender,0,0,70,India,29,
200,Jiteshwor Singh,Chennayin FC,Midfielder,0,0,3,India,24,
201,Ankit Mukherjee,Chennayin FC,Defender,0,0,56,India,29,
202,Prakadeswaran S,Chennayin FC,Midfielder,0,0,22,India,19,
203,Sergio Llamas,Inter Kashi FC,Midfielder,0,0,720,Spain,33,
204,Lluis Tarrés Campos,Inter Kashi FC,Goalkeeper,0,0,529,Spain,25,
205,Rohit Danu,Inter Kashi FC,Midfielder,1,1,617,India,23,
206,Alfred Planas,Inter Kashi FC,Forward,4,1,677,Spain,30,
207,Haobam Tomba Singh,Inter Kashi FC,Midfielder,0,1,567,India,23,
208,Bilel Saidani,Inter Kashi FC,Defender,0,1,649,India,32,
209,Nishchal Chandan,Inter Kashi FC,Defender,0,0,617,India,26,
210,Sumeet Passi,Inter Kashi FC,Midfielder,0,0,425,India,31,
211,Nauris Petkevicius,Inter Kashi FC,Forward,1,1,493,Lithuania,26,
212,Wayne Vaz,Inter Kashi FC,Defender,0,0,551,India,27,
213,Prasanth Karuthadathkuni,Inter Kashi FC,Midfielder,1,0,414,India,28,
214,Prabir Das,Inter Kashi FC,Defender,0,0,225,India,32,
215,Narender Gahlot,Inter Kashi FC,Defender,0,0,360,India,24,
216,David Humanes,Inter Kashi FC,Defender,0,0,147,Spain,29,
217,Nishu Kumar,Inter Kashi FC,Defender,0,0,308,India,28,
218,Ashish Jha,Inter Kashi FC,Forward,0,1,164,India,26,
219,Jayesh Rane,Inter Kashi FC,Forward,0,0,53,India,34,
220,Mohammad Asif Khan,Inter Kashi FC,Midfielder,1,0,183,India,25,
221,Karthik Panicker,Inter Kashi FC,Midfielder,0,0,15,India,23,
222,Subham Das,Inter Kashi FC,Goalkeeper,0,0,188,India,27,
223,Seiminlen Doungel,Inter Kashi FC,Forward,0,0,7,India,32,
224,Rafael Ribeiro,SC Delhi,Defender,0,1,720,Brazil,30,
225,Abdul-Halik Hudu,SC Delhi,Midfielder,0,1,719,Ghana,26,
226,Augustine Lalrochana,SC Delhi,Midfielder,1,1,717,India,21,
227,Lamgoulen Gogou Hangshing,SC Delhi,Defender,0,1,715,India,28,
228,Matija Babovic,SC Delhi,Forward,2,1,577,Serbia,27,
229,Manoj Mohammed,SC Delhi,Defender,1,0,675,India,27,
230,Mohammed Azhar,SC Delhi,Midfielder,0,0,349,India,23,
231,Joseph Sunny,SC Delhi,Forward,3,1,539,India,22,
232,Nora Fernandes,SC Delhi,Goalkeeper,0,0,540,India,27,
233,Alex Saji,SC Delhi,Defender,0,0,540,India,25,
234,Mohammed Aimen,SC Delhi,Midfielder,2,2,499,India,23,
235,Clarence Fernandes,SC Delhi,Defender,0,0,180,India,21,
236,Vishal Yadav,SC Delhi,Goalkeeper,0,0,180,India,23,
237,Ramhlunchhunga,SC Delhi,Forward,0,0,157,India,24,
238,Devendra Murgaokar,SC Delhi,Forward,0,0,198,India,27,
239,Ousmane Fané,SC Delhi,Midfielder,0,0,357,France,32,
240,Ayush Adhikari,SC Delhi,Midfielder,0,0,62,India,25,
241,Sanatomba Singh,SC Delhi,Defender,0,0,45,India,19,
242,Alan Saji,SC Delhi,Forward,0,0,36,India,19,
243,Isaac Vanmalsawma,SC Delhi,Midfielder,0,0,30,India,29,
244,Julio Rivas,SC Delhi,Forward,0,0,28,Paraguay,25,
245,Ashutosh Mehta,SC Delhi,Defender,0,0,8,India,35,
246,Ebenezer Amoh,SC Delhi,Forward,0,0,1,Ghana,21,
247,Akshat Mehra,SC Delhi,Defender,0,0,1,India,19,
248,Kharon Subba,SC Delhi,Midfielder,0,0,1,India,20,
249,Naocha Singh,Kerala Blasters,Defender,0,0,495,India,26,
250,Arsh Anwer,Kerala Blasters,Goalkeeper,0,0,720,India,23,
251,Danish Farooq,Kerala Blasters,Midfielder,0,0,643,India,29,
252,Kévin Yoke,Kerala Blasters,Midfielder,0,0,676,France,29,
253,Sandeep Singh,Kerala Blasters,Defender,0,0,379,India,31,
254,Víctor Bertomeu,Kerala Blasters,Forward,2,0,495,Spain,33,
255,Vibin Mohanan,Kerala Blasters,Midfielder,0,0,514,India,23,
256,Aibanbha Dohling,Kerala Blasters,Defender,0,0,338,India,30,
257,Ebindas Y,Kerala Blasters,Midfielder,0,4,459,India,20,
258,Muhammad Ajsal,Kerala Blasters,Forward,1,0,353,India,22,
259,Korou Singh,Kerala Blasters,Forward,0,0,270,India,19,
260,Hormipam Ruivah,Kerala Blasters,Defender,0,0,359,India,25,
261,Nihal Sudeesh,Kerala Blasters,Midfielder,0,0,305,India,24,
262,Bikash Yumnam,Kerala Blasters,Defender,0,0,502,India,22,
263,Oumar Bah,Kerala Blasters,Defender,0,0,221,Spain,31,
264,Matías Hernández,Kerala Blasters,Midfielder,0,0,346,Spain,28,
265,Fallou Ndiaye,Kerala Blasters,Defender,1,0,450,Senegal,24,
266,Muhammed Saheef,Kerala Blasters,Defender,0,0,316,India,23,
267,Rowllin Borges,Kerala Blasters,Midfielder,0,0,136,India,33,
268,Marlon Roos Trujillo,Kerala Blasters,Midfielder,0,0,276,Germany,22,
269,Sachin Suresh,Kerala Blasters,Goalkeeper,0,0,90,India,25,
270,Jai Quitongo,Kerala Blasters,Forward,0,1,203,Scotland,28,
271,Sreekuttan MS,Kerala Blasters,Forward,0,0,12,India,21,
272,Freddy Lallawmawma,Kerala Blasters,Midfielder,0,0,189,India,23,
273,Karim Benarif,Kerala Blasters,Midfielder,0,0,105,Morocco,33,
274,Franchu Feuillassier,Kerala Blasters,Midfielder,1,0,51,Argentina,27,
275,Gaurav Bora,Mohammedan SC,Defender,0,0,630,India,27,
276,Amarjit Singh,Mohammedan SC,Midfielder,0,0,720,India,25,
277,Dinesh Meitei,Mohammedan SC,Defender,0,0,688,India,20,
278,Mahitosh Roy,Mohammedan SC,Midfielder,1,0,634,India,27,
279,Sajad Hussain Parray,Mohammedan SC,Defender,0,0,509,India,22,
280,Adison Singh,Mohammedan SC,Midfielder,1,0,440,India,21,
281,Lalthankima,Mohammedan SC,Midfielder,1,0,456,India,20,
282,Tangva Ragui,Mohammedan SC,Midfielder,0,0,263,India,22,
283,Hira Mondal,Mohammedan SC,Defender,0,2,617,India,29,
284,Subhajit Bhattacharjee,Mohammedan SC,Goalkeeper,0,0,270,India,24,
285,Lalremsanga Fanai,Mohammedan SC,Midfielder,1,0,436,India,24,
286,Padam Chettri,Mohammedan SC,Goalkeeper,0,0,450,India,28,
287,Israfil Dewan,Mohammedan SC,Forward,0,0,313,India,25,
288,Joseph Lalmuanawma,Mohammedan SC,Defender,0,0,144,India,21,
289,Fardin Molla,Mohammedan SC,Forward,0,0,254,India,23,
290,Lalngaihsaka,Mohammedan SC,Forward,0,1,318,India,19,
291,Makan Chote,Mohammedan SC,Midfielder,0,0,254,India,26,
292,Juwel Mazumder,Mohammedan SC,Defender,0,0,121,India,27,
293,Rochharzela,Mohammedan SC,Midfielder,0,0,41,India,27,
294,Jeremy Laldinpuia,Mohammedan SC,Midfielder,0,0,5,India,25,
295,Yash Chickro,Mohammedan SC,Midfielder,0,0,135,India,20,
296,Zodingliana Ralte,Mohammedan SC,Defender,0,0,166,India,30,
